epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1953.25,1.44693,1.55984,1.65856,0.64794,0.62984,0.65933,0.41426,1.53938,1.47193,1.75424,0.005743,0.005743,0.005743
45,2028.88,1.44278,1.55002,1.65309,0.63875,0.65291,0.67351,0.42429,1.53692,1.4333,1.74892,0.005644,0.005644,0.005644
46,2104.05,1.42463,1.53045,1.63057,0.65005,0.64012,0.67001,0.42085,1.55056,1.43722,1.74498,0.005545,0.005545,0.005545
47,2179.25,1.43979,1.52084,1.64119,0.65806,0.64387,0.67681,0.42548,1.51456,1.40768,1.73243,0.005446,0.005446,0.005446
48,2254.69,1.43127,1.53977,1.64668,0.65713,0.64075,0.67251,0.42469,1.50483,1.4152,1.72309,0.005347,0.005347,0.005347
49,2329.91,1.42941,1.52371,1.64098,0.68057,0.61166,0.67476,0.42886,1.5216,1.4158,1.73472,0.005248,0.005248,0.005248
50,2405.25,1.42518,1.52143,1.63848,0.68464,0.64983,0.68481,0.4305,1.52249,1.39561,1.72916,0.005149,0.005149,0.005149
51,2480.7,1.41451,1.50298,1.62474,0.65751,0.66372,0.68278,0.43081,1.53083,1.38384,1.74394,0.00505,0.00505,0.00505
52,2556.46,1.42177,1.49709,1.62935,0.66959,0.67144,0.69353,0.4445,1.51757,1.34587,1.72296,0.004951,0.004951,0.004951
53,2631.74,1.41812,1.49881,1.6238,0.6704,0.66823,0.6905,0.43308,1.51965,1.36828,1.72543,0.004852,0.004852,0.004852
54,2707.16,1.41767,1.48891,1.61953,0.68253,0.66133,0.70367,0.45142,1.50145,1.34298,1.70265,0.004753,0.004753,0.004753
55,2782.43,1.41332,1.49096,1.62491,0.67835,0.67432,0.70517,0.44997,1.52594,1.34006,1.70747,0.004654,0.004654,0.004654
56,2857.65,1.40606,1.47937,1.62276,0.67913,0.68548,0.71401,0.4589,1.49602,1.32432,1.70325,0.004555,0.004555,0.004555
57,2932.86,1.39925,1.47018,1.61875,0.66471,0.67644,0.69607,0.45026,1.47868,1.3466,1.69851,0.004456,0.004456,0.004456
58,3008.25,1.40819,1.45264,1.60675,0.66697,0.66723,0.69944,0.43777,1.51549,1.35375,1.70363,0.004357,0.004357,0.004357
59,3083.41,1.39241,1.454,1.61139,0.6863,0.67488,0.70465,0.45372,1.49514,1.34975,1.71403,0.004258,0.004258,0.004258
60,3158.69,1.39763,1.46338,1.61615,0.6813,0.66559,0.7069,0.45106,1.49359,1.32273,1.70556,0.004159,0.004159,0.004159
61,3234.21,1.40411,1.4593,1.6139,0.67617,0.69447,0.71115,0.45593,1.48304,1.3217,1.69187,0.00406,0.00406,0.00406
62,3309.51,1.39671,1.44388,1.60854,0.69653,0.68677,0.72031,0.46408,1.48529,1.29671,1.68647,0.003961,0.003961,0.003961
